group: Diseases and Symptoms

Diseases = {
disease_code,disease_name,occurrences
"UMLS:C0002871","UMLS:C1096646"
"UMLS:C0024117","UMLS:C0392680"
"UMLS:C0024117","UMLS:C0043144"
"UMLS:C0024117","UMLS:C0010200"
"UMLS:C0024117","UMLS:C0013404"
"UMLS:C0024117","UMLS:C0476273"
"UMLS:C0024117","UMLS:C0241235"
"UMLS:C0024117","UMLS:C0700292"
"UMLS:C0024117","UMLS:C0020440"
"UMLS:C0024117","UMLS:C0376405"
"UMLS:C0024117","UMLS:C0232292"
"UMLS:C0497327","UMLS:C0015967"
"UMLS:C0497327","UMLS:C0085639"
"UMLS:C0497327","UMLS:C0241526"
"UMLS:C0497327","UMLS:C0023380"
"UMLS:C0497327","UMLS:C0085631"
"UMLS:C0497327","UMLS:C0013491"
"UMLS:C0497327","UMLS:C0039070"
"UMLS:C0497327","UMLS:C0034642"
"UMLS:C0497327","UMLS:C0041657"
"UMLS:C0497327","UMLS:C0010200"
"UMLS:C0497327","UMLS:C0741453"
"UMLS:C0497327","UMLS:C0030193"
"UMLS:C0497327","UMLS:C0427055"
"UMLS:C0497327","UMLS:C0232498"
"UMLS:C0497327","UMLS:C0035508"
"UMLS:C0497327","UMLS:C1273573"
"UMLS:C0497327","UMLS:C0233762"
"UMLS:C1565489","UMLS:C0392680"
"UMLS:C1565489","UMLS:C0020461"
"UMLS:C1565489","UMLS:C0085619"
"UMLS:C1565489","UMLS:C0034642"
"UMLS:C1565489","UMLS:C0085606"
"UMLS:C1565489","UMLS:C0003962"
"UMLS:C1565489","UMLS:C0744492"
"UMLS:C1565489","UMLS:C0004093"
"UMLS:C1565489","UMLS:C0277797"
"UMLS:C1565489","UMLS:C0856054"
"UMLS:C1565489","UMLS:C0013404"
"UMLS:C1565489","UMLS:C1299586"
"UMLS:C1565489","UMLS:C0011991"
"UMLS:C1565489","UMLS:C0020649"
"UMLS:C1565489","UMLS:C0238844"
"UMLS:C1565489","UMLS:C0038999"
"UMLS:C1565489","UMLS:C0086439"
"UMLS:C0009676","UMLS:C0036572"
"UMLS:C0009676","UMLS:C0014394"
"UMLS:C0009676","UMLS:C0023380"
"UMLS:C0009676","UMLS:C0234518"
"UMLS:C0009676","UMLS:C0085639"
"UMLS:C0009676","UMLS:C0239110"
"UMLS:C0009676","UMLS:C0856054"
"UMLS:C0009676","UMLS:C0232766"
"UMLS:C0009676","UMLS:C0041657"
"UMLS:C0009676","UMLS:C0085631"
"UMLS:C0009676","UMLS:C0231530"
"UMLS:C0009676","UMLS:C0004093"
"UMLS:C0009676","UMLS:C0234450"
"UMLS:C0009676","UMLS:C0012833"
"UMLS:C0009676","UMLS:C0018681"
"UMLS:C0009676","UMLS:C0013362"
"UMLS:C0009676","UMLS:C0220870"
"UMLS:C0009676","UMLS:C0040822"
"UMLS:C0009676","UMLS:C0020625"
"UMLS:C0009676","UMLS:C0241526"
"UMLS:C0029408","UMLS:C0030193"
"UMLS:C0029408","UMLS:C0149696"
"UMLS:C0029408","UMLS:C0239832"
"UMLS:C0029408","UMLS:C0858924"
"UMLS:C0029408","UMLS:C0013144"
"UMLS:C0029408","UMLS:C0004093"
"UMLS:C0029408","UMLS:C0337672"
"UMLS:C0029408","UMLS:C0850149"
"UMLS:C0029408","UMLS:C0085602"
"UMLS:C0029408","UMLS:C0427008"
"UMLS:C0029408","UMLS:C1273573"
"UMLS:C0020676","UMLS:C0392680"
"UMLS:C0020676","UMLS:C0242453"
"UMLS:C0020676","UMLS:C0234450"
"UMLS:C0020676","UMLS:C0020625"
"UMLS:C0020676","UMLS:C0085639"
"UMLS:C0020676","UMLS:C1273573"
"UMLS:C0020676","UMLS:C0032617"
"UMLS:C0020676","UMLS:C0020649"
"UMLS:C0020676","UMLS:C1299586"
"UMLS:C0020676","UMLS:C0039070"
"UMLS:C0020676","UMLS:C0028084"
"UMLS:C0020676","UMLS:C0234518"
"UMLS:C0020676","UMLS:C0043094"
"UMLS:C0020676","UMLS:C0004093"
"UMLS:C0020676","UMLS:C0557875"
"UMLS:C0020676","UMLS:C0085631"
"UMLS:C0020676","UMLS:C0856054"
"UMLS:C0020676","UMLS:C0424230"
"UMLS:C0020676","UMLS:C0042963"
"UMLS:C0020676","UMLS:C0028643"
"UMLS:C0020676","UMLS:C0577559"
"UMLS:C0700613","UMLS:C0233481"
"UMLS:C0700613","UMLS:C0424000"
"UMLS:C0700613","UMLS:C0438696"
"UMLS:C0700613","UMLS:C0917801"
"UMLS:C0700613","UMLS:C0150041"
"UMLS:C0700613","UMLS:C0022107"
"UMLS:C0700613","UMLS:C0040822"
"UMLS:C0700613","UMLS:C0312422"
"UMLS:C0700613","UMLS:C0424109"
"UMLS:C0700613","UMLS:C0557075"
"UMLS:C0700613","UMLS:C0027769"
"UMLS:C0700613","UMLS:C0233763"
"UMLS:C0700613","UMLS:C0016579"
"UMLS:C0700613","UMLS:C1299586"
"UMLS:C0700613","UMLS:C0008031"
"UMLS:C0700613","UMLS:C0376405"
"UMLS:C0700613","UMLS:C0085631"
"UMLS:C0700613","UMLS:C0030252"
"UMLS:C0700613","UMLS:C0233762"
"UMLS:C0700613","UMLS:C0344315"
"UMLS:C0700613","UMLS:C0600142"
"UMLS:C0700613","UMLS:C0030193"
"UMLS:C0700613","UMLS:C0239110"
"UMLS:C0700613","UMLS:C0028084"
"UMLS:C1306459","UMLS:C0030193"
"UMLS:C1306459","UMLS:C0577559"
"UMLS:C1306459","UMLS:C0221198"
"UMLS:C1306459","UMLS:C0878661"
"UMLS:C1306459","UMLS:C0743482"
"UMLS:C1306459","UMLS:C0043096"
"UMLS:C1306459","UMLS:C0003962"
"UMLS:C1306459","UMLS:C0019825"
"UMLS:C1306459","UMLS:C0205400"
"UMLS:C1306459","UMLS:C0018965"
"UMLS:C0019693","UMLS:C0015967"
"UMLS:C0019693","UMLS:C0028081"
"UMLS:C0019693","UMLS:C0233308"
"UMLS:C0019693","UMLS:C0010200"
"UMLS:C0019693","UMLS:C0032739"
"UMLS:C0019693","UMLS:C0043096"
"UMLS:C0019693","UMLS:C0085593"
"UMLS:C0019693","UMLS:C0011991"
"UMLS:C0019693","UMLS:C0008033"
"UMLS:C0019693","UMLS:C0376405"
"UMLS:C0019693","UMLS:C0231835"
"UMLS:C0019693","UMLS:C0239134"
"UMLS:C0019693","UMLS:C0241938"
"UMLS:C0019693","UMLS:C0424000"
"UMLS:C0007642","UMLS:C0041834"
"UMLS:C0007642","UMLS:C0030193"
"UMLS:C0007642","UMLS:C0038999"
"UMLS:C0007642","UMLS:C0332575"
"UMLS:C0007642","UMLS:C0015967"
"UMLS:C0007642","UMLS:C0549483"
"UMLS:C0007642","UMLS:C0376405"
"UMLS:C0007642","UMLS:C0020580"
"UMLS:C0007642","UMLS:C0034880"
"UMLS:C0007642","UMLS:C0033774"
"UMLS:C0007642","UMLS:C0008031"
"UMLS:C0007642","UMLS:C1384489"
"UMLS:C0007642","UMLS:C0085593"
"UMLS:C0007642","UMLS:C0234233"
"UMLS:C0017168","UMLS:C0030193"
"UMLS:C0017168","UMLS:C0008031"
"UMLS:C0017168","UMLS:C0085624"
"UMLS:C0017168","UMLS:C0020625"
"UMLS:C0017168","UMLS:C0239233"
"UMLS:C0017168","UMLS:C1444773"
"UMLS:C0017168","UMLS:C0232292"
"UMLS:C0017168","UMLS:C0234215"
"UMLS:C0017168","UMLS:C1305739"
"UMLS:C0017168","UMLS:C0027497"
"UMLS:C0017168","UMLS:C0858924"
"UMLS:C0017168","UMLS:C0009806"
"UMLS:C0017168","UMLS:C0030252"
"UMLS:C0017168","UMLS:C0000737"
"UMLS:C0017168","UMLS:C0018834"
"UMLS:C0017168","UMLS:C0700590"
"UMLS:C0017168","UMLS:C0004093"
"UMLS:C1090821","UMLS:C0015967"
"UMLS:C1090821","UMLS:C0476273"
"UMLS:C1090821","UMLS:C0020649"
"UMLS:C1090821","UMLS:C0231835"
"UMLS:C1090821","UMLS:C0085593"
"UMLS:C1090821","UMLS:C0023380"
"UMLS:C1090821","UMLS:C0428977"
"UMLS:C1090821","UMLS:C0006157"
"UMLS:C1090821","UMLS:C0010520"
"UMLS:C1090821","UMLS:C0233308"
"UMLS:C1090821","UMLS:C0019080"
"UMLS:C1090821","UMLS:C0241526"
"UMLS:C1090821","UMLS:C0034642"
"UMLS:C1090821","UMLS:C0277797"
"UMLS:C0149871","UMLS:C0038999"
"UMLS:C0149871","UMLS:C0030193"
"UMLS:C0149871","UMLS:C0013491"
"UMLS:C0149871","UMLS:C0392680"
"UMLS:C0149871","UMLS:C0023222"
"UMLS:C0149871","UMLS:C0018800"
"UMLS:C0149871","UMLS:C0034642"
"UMLS:C0149871","UMLS:C0041834"
"UMLS:C0149871","UMLS:C0020649"
"UMLS:C0149871","UMLS:C0009024"
"UMLS:C0149871","UMLS:C0850149"
"UMLS:C0149871","UMLS:C0332575"
"UMLS:C0011175","UMLS:C0015967"
"UMLS:C0011175","UMLS:C0011991"
"UMLS:C0011175","UMLS:C0042963"
"UMLS:C0011175","UMLS:C0020649"
"UMLS:C0011175","UMLS:C0027497"
"UMLS:C0011175","UMLS:C0220870"
"UMLS:C0011175","UMLS:C0857256"
"UMLS:C0011175","UMLS:C0856054"
"UMLS:C0011175","UMLS:C0003123"
"UMLS:C0011175","UMLS:C0004093"
"UMLS:C0011175","UMLS:C0234215"
"UMLS:C0011175","UMLS:C0039070"
"UMLS:C0011175","UMLS:C0023380"
"UMLS:C0011175","UMLS:C0012833"
"UMLS:C0011175","UMLS:C0424533"
"UMLS:C0027651","UMLS:C0577559"
"UMLS:C0027651","UMLS:C0221198"
"UMLS:C0027651","UMLS:C0008031"
"UMLS:C0027651","UMLS:C0018965"
"UMLS:C0027651","UMLS:C1269955"
"UMLS:C0027651","UMLS:C0030193"
"UMLS:C0027651","UMLS:C0003126"
"UMLS:C0027651","UMLS:C0205400"
"UMLS:C0027651","UMLS:C1513183"
"UMLS:C0027651","UMLS:C0149696"
"UMLS:C0027651","UMLS:C0043096"
"UMLS:C0027651","UMLS:C0028081"
"UMLS:C0027651","UMLS:C0271202"
"UMLS:C0027651","UMLS:C0239233"
"UMLS:C0027651","UMLS:C0000737"
"UMLS:C0027651","UMLS:C0018681"
"UMLS:C0034065","UMLS:C0392680"
"UMLS:C0034065","UMLS:C0700292"
"UMLS:C0034065","UMLS:C0231835"
"UMLS:C0034065","UMLS:C0744727"
"UMLS:C0034065","UMLS:C0008031"
"UMLS:C0034065","UMLS:C0013404"
"UMLS:C0034065","UMLS:C0008033"
"UMLS:C0034065","UMLS:C0151315"
"UMLS:C0034065","UMLS:C0457096"
"UMLS:C0034065","UMLS:C0239134"
"UMLS:C0034065","UMLS:C0008767"
"UMLS:C0034065","UMLS:C0241526"
"UMLS:C0034065","UMLS:C0476273"
"UMLS:C0034065","UMLS:C0043144"
"UMLS:C0034065","UMLS:C0277797"
"UMLS:C0034065","UMLS:C0850149"
"UMLS:C0014544","UMLS:C0036572"
"UMLS:C0014544","UMLS:C0347938"
"UMLS:C0014544","UMLS:C0236018"
"UMLS:C0014544","UMLS:C0231530"
"UMLS:C0014544","UMLS:C0013144"
"UMLS:C0014544","UMLS:C0040822"
"UMLS:C0014544","UMLS:C0241526"
"UMLS:C0014544","UMLS:C0018991"
"UMLS:C0014544","UMLS:C0027066"
"UMLS:C0014544","UMLS:C0232517"
"UMLS:C0014544","UMLS:C0234450"
"UMLS:C0014544","UMLS:C0023380"
"UMLS:C0014544","UMLS:C0558195"
"UMLS:C0878544","UMLS:C0392680"
"UMLS:C0878544","UMLS:C0085619"
"UMLS:C0878544","UMLS:C0086439"
"UMLS:C0878544","UMLS:C0240100"
"UMLS:C0878544","UMLS:C0030252"
"UMLS:C0878544","UMLS:C0008031"
"UMLS:C0878544","UMLS:C0039070"
"UMLS:C0878544","UMLS:C0457096"
"UMLS:C0878544","UMLS:C0034642"
"UMLS:C0878544","UMLS:C0013404"
"UMLS:C0878544","UMLS:C0231807"
"UMLS:C0878544","UMLS:C0238705"
"UMLS:C0878544","UMLS:C0015672"
"UMLS:C0878544","UMLS:C0043094"
"UMLS:C0878544","UMLS:C0376405"
"UMLS:C0022661","UMLS:C0042963"
"UMLS:C0022661","UMLS:C0085619"
"UMLS:C0022661","UMLS:C0020461"
"UMLS:C0022661","UMLS:C0028961"
"UMLS:C0022661","UMLS:C0240100"
"UMLS:C0022661","UMLS:C0027497"
"UMLS:C0022661","UMLS:C0392680"
"UMLS:C0022661","UMLS:C0856054"
"UMLS:C0022661","UMLS:C0011991"
"UMLS:C0022661","UMLS:C0004093"
"UMLS:C0022661","UMLS:C0232292"
"UMLS:C0022661","UMLS:C0231218"
"UMLS:C0022661","UMLS:C0085593"
"UMLS:C0022661","UMLS:C0034642"
"UMLS:C0022661","UMLS:C0015967"
"UMLS:C0022661","UMLS:C0008033"
"UMLS:C0022661","UMLS:C0277797"
"UMLS:C0022661","UMLS:C0744492"
"UMLS:C0022661","UMLS:C0038999"
"UMLS:C0022661","UMLS:C0007398"
"UMLS:C0022661","UMLS:C0241526"
"UMLS:C0022661","UMLS:C0457096"
"UMLS:C0007097","UMLS:C0577559"
"UMLS:C0007097","UMLS:C0030193"
"UMLS:C0007097","UMLS:C0221198"
"UMLS:C0007097","UMLS:C1269955"
"UMLS:C0007097","UMLS:C0205400"
"UMLS:C0007097","UMLS:C0043096"
"UMLS:C0007097","UMLS:C0019825"
"UMLS:C0007097","UMLS:C0858924"
"UMLS:C0007097","UMLS:C1513183"
"UMLS:C0007097","UMLS:C0850149"
"UMLS:C0007097","UMLS:C0009806"
"UMLS:C0007097","UMLS:C0847488"
"UMLS:C0007097","UMLS:C0030554"
"UMLS:C0007097","UMLS:C0232995"
"UMLS:C0007097","UMLS:C0011991"
"UMLS:C0007097","UMLS:C0234233"
"UMLS:C0007097","UMLS:C0018834"
"UMLS:C0007097","UMLS:C0027497"
"UMLS:C0007097","UMLS:C0034079"
"UMLS:C0019196","UMLS:C0003962"
"UMLS:C0019196","UMLS:C0000731"
"UMLS:C0019196","UMLS:C0424000"
"UMLS:C0019196","UMLS:C0010200"
"UMLS:C0019196","UMLS:C0234238"
"UMLS:C0019196","UMLS:C0558143"
"UMLS:C0019196","UMLS:C0581912"
"UMLS:C0019196","UMLS:C0233762"
"UMLS:C0019196","UMLS:C0085593"
"UMLS:C0019196","UMLS:C0232766"
"UMLS:C0019196","UMLS:C0376405"
"UMLS:C0085096","UMLS:C0392680"
"UMLS:C0085096","UMLS:C0234253"
"UMLS:C0085096","UMLS:C0002962"
"UMLS:C0085096","UMLS:C0241526"
"UMLS:C0085096","UMLS:C0020461"
"UMLS:C0085096","UMLS:C0232201"
"UMLS:C0085096","UMLS:C0553668"
"UMLS:C0085096","UMLS:C0013404"
"UMLS:C0085096","UMLS:C0234233"
"UMLS:C0085096","UMLS:C0003123"
"UMLS:C0085096","UMLS:C0234450"
"UMLS:C0033975","UMLS:C0438696"
"UMLS:C0033975","UMLS:C0233762"
"UMLS:C0033975","UMLS:C0424000"
"UMLS:C0033975","UMLS:C0233763"
"UMLS:C0033975","UMLS:C0424230"
"UMLS:C0033975","UMLS:C0312422"
"UMLS:C0033975","UMLS:C0424068"
"UMLS:C0033975","UMLS:C0150041"
"UMLS:C0033975","UMLS:C0022107"
"UMLS:C0033975","UMLS:C0085631"
"UMLS:C0033975","UMLS:C0040822"
"UMLS:C0033975","UMLS:C0007398"
"UMLS:C0033975","UMLS:C0424109"
"UMLS:C0033975","UMLS:C0237154"
"UMLS:C0033975","UMLS:C0917801"
"UMLS:C0033975","UMLS:C0424092"
"UMLS:C0033975","UMLS:C0455769"
"UMLS:C0033975","UMLS:C0728899"
"UMLS:C0033975","UMLS:C0233481"
"UMLS:C0033975","UMLS:C0424295"
"UMLS:C0033975","UMLS:C0376405"
"UMLS:C0033975","UMLS:C0344315"
"UMLS:C0033975","UMLS:C0558261"
"UMLS:C0033975","UMLS:C0028084"
"UMLS:C0033975","UMLS:C0239110"
"UMLS:C0020473","UMLS:C0008031"
"UMLS:C0020473","UMLS:C0002962"
"UMLS:C0020473","UMLS:C0030252"
"UMLS:C0020473","UMLS:C1305739"
"UMLS:C0020473","UMLS:C0085635"
"UMLS:C0020473","UMLS:C0700590"
"UMLS:C0020473","UMLS:C0235710"
"UMLS:C0020473","UMLS:C0392680"
"UMLS:C0020473","UMLS:C0392701"
"UMLS:C0020473","UMLS:C0086439"
"UMLS:C0020473","UMLS:C0018991"
"UMLS:C0020473","UMLS:C0012833"
"UMLS:C0005586","UMLS:C0424000"
"UMLS:C0005586","UMLS:C0455769"
"UMLS:C0005586","UMLS:C0438696"
"UMLS:C0005586","UMLS:C0022107"
"UMLS:C0005586","UMLS:C0085631"
"UMLS:C0005586","UMLS:C0557075"
"UMLS:C0005586","UMLS:C0578859"
"UMLS:C0005586","UMLS:C0233762"
"UMLS:C0005586","UMLS:C0424068"
"UMLS:C0005586","UMLS:C0424109"
"UMLS:C0005586","UMLS:C0424295"
"UMLS:C0005586","UMLS:C0007398"
"UMLS:C0005586","UMLS:C0150041"
"UMLS:C0005586","UMLS:C0233481"
"UMLS:C0005586","UMLS:C0917801"
"UMLS:C0005586","UMLS:C0917799"
"UMLS:C0005586","UMLS:C1299586"
"UMLS:C0005586","UMLS:C0233763"
"UMLS:C0005586","UMLS:C0020458"
"UMLS:C0005586","UMLS:C0026961"
"UMLS:C0005586","UMLS:C0234133"
"UMLS:C0005586","UMLS:C0240233"
"UMLS:C0005586","UMLS:C0728899"
"UMLS:C0005586","UMLS:C0424230"
"UMLS:C0005586","UMLS:C0237154"
"UMLS:C0005586","UMLS:C0312422"
"UMLS:C0005586","UMLS:C0040822"
"UMLS:C0005586","UMLS:C0392674"
"UMLS:C0028754","UMLS:C0030193"
"UMLS:C0028754","UMLS:C0007398"
"UMLS:C0028754","UMLS:C0037384"
"UMLS:C0028754","UMLS:C0008031"
"UMLS:C0028754","UMLS:C0429091"
"UMLS:C0028754","UMLS:C0557075"
"UMLS:C0028754","UMLS:C0392680"
"UMLS:C0028754","UMLS:C0557875"
"UMLS:C0028754","UMLS:C0497406"
"UMLS:C0028754","UMLS:C0232257"
"UMLS:C0028754","UMLS:C0344315"
"UMLS:C0028754","UMLS:C0013491"
"UMLS:C0022116","UMLS:C0234450"
"UMLS:C0022116","UMLS:C0008031"
"UMLS:C0022116","UMLS:C0002962"
"UMLS:C0022116","UMLS:C0438716"
"UMLS:C0022116","UMLS:C0235710"
"UMLS:C0022116","UMLS:C0392680"
"UMLS:C0022116","UMLS:C0013404"
"UMLS:C0022116","UMLS:C0232201"
"UMLS:C0022116","UMLS:C0428977"
"UMLS:C0022116","UMLS:C0700590"
"UMLS:C0022116","UMLS:C0034642"
"UMLS:C0022116","UMLS:C0231221"
"UMLS:C0022116","UMLS:C0003123"
"UMLS:C1623038","UMLS:C0003962"
"UMLS:C1623038","UMLS:C0085639"
"UMLS:C1623038","UMLS:C0038002"
"UMLS:C1623038","UMLS:C0033774"
"UMLS:C1623038","UMLS:C0000737"
"UMLS:C1623038","UMLS:C1269955"
"UMLS:C1623038","UMLS:C0000731"
"UMLS:C1623038","UMLS:C0221198"
"UMLS:C1623038","UMLS:C0578150"
"UMLS:C1623038","UMLS:C0744492"
"UMLS:C1623038","UMLS:C0234233"
"UMLS:C1623038","UMLS:C0151706"
"UMLS:C0015230","UMLS:C0015967"
"UMLS:C0015230","UMLS:C0033774"
"UMLS:C0015230","UMLS:C0332573"
"UMLS:C0015230","UMLS:C0221198"
"UMLS:C0015230","UMLS:C0332575"
"UMLS:C0015230","UMLS:C0018681"
"UMLS:C0015230","UMLS:C0277797"
"UMLS:C0015230","UMLS:C0003862"
"UMLS:C0015230","UMLS:C0038999"
"UMLS:C0015230","UMLS:C0041834"
"UMLS:C0015230","UMLS:C0085636"
"UMLS:C0015230","UMLS:C0085593"
"UMLS:C0015230","UMLS:C1384489"
"UMLS:C0015230","UMLS:C0030193"
"UMLS:C0015230","UMLS:C0221150"
"UMLS:C0005001","UMLS:C0856054"
"UMLS:C0005001","UMLS:C0006625"
"UMLS:C0005001","UMLS:C0312422"
"UMLS:C0005001","UMLS:C0149746"
"UMLS:C0005001","UMLS:C0085619"
"UMLS:C0005001","UMLS:C0028081"
"UMLS:C0005001","UMLS:C0476273"
"UMLS:C0005001","UMLS:C0003123"
"UMLS:C0005001","UMLS:C0013362"
"UMLS:C0022660","UMLS:C0020461"
"UMLS:C0022660","UMLS:C0020649"
"UMLS:C0022660","UMLS:C0020598"
"UMLS:C0022660","UMLS:C0028961"
"UMLS:C0022660","UMLS:C0578150"
"UMLS:C0022660","UMLS:C0004093"
"UMLS:C0022660","UMLS:C0020672"
"UMLS:C0022660","UMLS:C0011991"
"UMLS:C0022660","UMLS:C0019080"
"UMLS:C0022660","UMLS:C0241526"
"UMLS:C0026266","UMLS:C0392680"
"UMLS:C0026266","UMLS:C0231807"
"UMLS:C0026266","UMLS:C0231221"
"UMLS:C0026266","UMLS:C0086439"
"UMLS:C0026266","UMLS:C0013404"
"UMLS:C0026266","UMLS:C0039070"
"UMLS:C0026266","UMLS:C0205400"
"UMLS:C0026266","UMLS:C0238705"
"UMLS:C0026266","UMLS:C0030252"
"UMLS:C0026266","UMLS:C0015672"
"UMLS:C0026266","UMLS:C0042963"
"UMLS:C0026266","UMLS:C0030193"
"UMLS:C0026266","UMLS:C0018800"
"UMLS:C0026266","UMLS:C0235710"
"UMLS:C0003864","UMLS:C0030193"
"UMLS:C0003864","UMLS:C0578150"
"UMLS:C0003864","UMLS:C0917801"
"UMLS:C0003864","UMLS:C0004093"
"UMLS:C0003864","UMLS:C0039070"
"UMLS:C0003864","UMLS:C0038999"
"UMLS:C0003864","UMLS:C0741302"
"UMLS:C0003864","UMLS:C0427108"
"UMLS:C0003864","UMLS:C0392680"
"UMLS:C0003864","UMLS:C0000731"
"UMLS:C0006277","UMLS:C0010200"
"UMLS:C0006277","UMLS:C0043144"
"UMLS:C0006277","UMLS:C0392680"
"UMLS:C0006277","UMLS:C0232292"
"UMLS:C0006277","UMLS:C0015967"
"UMLS:C0006277","UMLS:C0242429"
"UMLS:C0006277","UMLS:C0239134"
"UMLS:C0006277","UMLS:C0019214"
"UMLS:C0006277","UMLS:C0028081"
"UMLS:C0006277","UMLS:C0019079"
"UMLS:C0006277","UMLS:C0553668"
"UMLS:C0006277","UMLS:C1260880"
"UMLS:C0006277","UMLS:C0239133"
"UMLS:C0006277","UMLS:C0013404"
"UMLS:C0006277","UMLS:C0085593"
"UMLS:C0006277","UMLS:C0038450"
"UMLS:C0006277","UMLS:C0043096"
"UMLS:C0018989","UMLS:C0013362"
"UMLS:C0018989","UMLS:C0030552"
"UMLS:C0018989","UMLS:C0004093"
"UMLS:C0018989","UMLS:C0221470"
"UMLS:C0018989","UMLS:C0036572"
"UMLS:C0018989","UMLS:C0234518"
"UMLS:C0018989","UMLS:C0751495"
"UMLS:C0018989","UMLS:C0018991"
"UMLS:C0018989","UMLS:C0423571"
"UMLS:C0018989","UMLS:C0241526"
"UMLS:C0018989","UMLS:C0085628"
"UMLS:C0018989","UMLS:C0234450"
"UMLS:C0018989","UMLS:C0231890"
"UMLS:C0018989","UMLS:C0271276"
"UMLS:C0018989","UMLS:C0677500"
"UMLS:C0018989","UMLS:C0522224"
"UMLS:C0018989","UMLS:C0009024"
"UMLS:C0018989","UMLS:C0427055"
"UMLS:C0029456","UMLS:C0242453"
"UMLS:C0029456","UMLS:C0085639"
"UMLS:C0029456","UMLS:C0019572"
"UMLS:C0029456","UMLS:C0558361"
"UMLS:C0029456","UMLS:C0000731"
"UMLS:C0029456","UMLS:C0042571"
"UMLS:C0029456","UMLS:C0239832"
"UMLS:C0029456","UMLS:C0233565"
"UMLS:C0029456","UMLS:C0030193"
"UMLS:C0029456","UMLS:C0039070"
"UMLS:C0029456","UMLS:C0848168"
"UMLS:C0029456","UMLS:C0277797"
"UMLS:C0029456","UMLS:C0150045"
"UMLS:C0029456","UMLS:C0220870"
"UMLS:C0007787","UMLS:C0234518"
"UMLS:C0007787","UMLS:C0013362"
"UMLS:C0007787","UMLS:C0427055"
"UMLS:C0007787","UMLS:C0004093"
"UMLS:C0007787","UMLS:C0151315"
"UMLS:C0007787","UMLS:C0042571"
"UMLS:C0007787","UMLS:C0028643"
"UMLS:C0007787","UMLS:C0220870"
"UMLS:C0007787","UMLS:C0234133"
"UMLS:C0007787","UMLS:C0271276"
"UMLS:C0007787","UMLS:C0344232"
"UMLS:C0007787","UMLS:C0018681"
"UMLS:C0007787","UMLS:C0848277"
"UMLS:C0007787","UMLS:C0039070"
"UMLS:C0007787","UMLS:C1299586"
"UMLS:C0007787","UMLS:C0423982"
"UMLS:C0007787","UMLS:C0233844"
"UMLS:C0001418","UMLS:C0577559"
"UMLS:C0001418","UMLS:C0221198"
"UMLS:C0001418","UMLS:C0043096"
"UMLS:C0001418","UMLS:C0009806"
"UMLS:C0001418","UMLS:C0231890"
"UMLS:C0001418","UMLS:C0278014"
"UMLS:C0001418","UMLS:C0239233"
"UMLS:C0001418","UMLS:C0018932"
"UMLS:C0001418","UMLS:C0231872"
"UMLS:C0001418","UMLS:C0030193"
"UMLS:C0001418","UMLS:C0241158"
"UMLS:C0001418","UMLS:C0000737"
"UMLS:C1456784","UMLS:C0233762"
"UMLS:C1456784","UMLS:C0233763"
"UMLS:C1456784","UMLS:C0085631"
"UMLS:C1456784","UMLS:C0022107"
"UMLS:C1456784","UMLS:C0424068"
"UMLS:C1456784","UMLS:C0424000"
"UMLS:C1456784","UMLS:C0438696"
"UMLS:C1456784","UMLS:C0558261"
"UMLS:C1456784","UMLS:C0233647"
"UMLS:C1456784","UMLS:C0237154"
"UMLS:C1456784","UMLS:C0455769"
"UMLS:C1456784","UMLS:C0344315"
"UMLS:C1456784","UMLS:C0231187"
"UMLS:C1456784","UMLS:C0241158"
"UMLS:C1456784","UMLS:C0312422"
"UMLS:C1456784","UMLS:C0240233"
"UMLS:C0030305","UMLS:C0042963"
"UMLS:C0030305","UMLS:C0000737"
"UMLS:C0030305","UMLS:C0027497"
"UMLS:C0030305","UMLS:C0030193"
"UMLS:C0030305","UMLS:C0011991"
"UMLS:C0030305","UMLS:C0241252"
"UMLS:C0030305","UMLS:C0424790"
"UMLS:C0030305","UMLS:C0277797"
"UMLS:C0030305","UMLS:C0234233"
"UMLS:C0021167","UMLS:C0221166"
"UMLS:C0021167","UMLS:C0036572"
"UMLS:C0021167","UMLS:C0004093"
"UMLS:C0021167","UMLS:C0150045"
"UMLS:C0021167","UMLS:C0041657"
"UMLS:C0021167","UMLS:C0236018"
"UMLS:C0021167","UMLS:C0554980"
"UMLS:C0021167","UMLS:C0877040"
"UMLS:C0021167","UMLS:C0040822"
"UMLS:C0021167","UMLS:C0037763"
"UMLS:C0021167","UMLS:C0847488"
"UMLS:C0021167","UMLS:C0039070"
"UMLS:C0021167","UMLS:C0085639"
"UMLS:C0021167","UMLS:C0427008"
"UMLS:C0021167","UMLS:C0241526"
"UMLS:C0013405","UMLS:C0085619"
"UMLS:C0013405","UMLS:C0392680"
"UMLS:C0013405","UMLS:C0231807"
"UMLS:C0013405","UMLS:C0240100"
"UMLS:C0013405","UMLS:C0034642"
"UMLS:C0013405","UMLS:C0008031"
"UMLS:C0013405","UMLS:C0030252"
"UMLS:C0013405","UMLS:C0700590"
"UMLS:C0013405","UMLS:C0043094"
"UMLS:C0013405","UMLS:C0010200"
"UMLS:C0013405","UMLS:C0013404"
"UMLS:C0019270","UMLS:C0000737"
"UMLS:C0019270","UMLS:C0030193"
"UMLS:C0019270","UMLS:C0020578"
"UMLS:C0019270","UMLS:C0278141"
"UMLS:C0019270","UMLS:C0016927"
